Name, Start, Duration, Distance
Marple Buxton Macclesfield Loop, 5/3/2013 14:29:58, 17216, 88451.6
2013/03/04, 4/3/2013 15:53:36, 4175, 8224.33
2013/03/02, 2/3/2013 19:06:00, 701, 3954.78
2013/03/02, 2/3/2013 17:42:39, 776, 4143.56
Trafford Loop, 2/3/2013 10:48:54, 3893, 26262.8
Airport Loop, 3/3/2013 15:57:26, 7163, 41102.8
Poynton Chelford Wilmslow Loop, 27/2/2013 10:08:48, 19805, 83005.4
Snakes Castleton Loop Mam Tor, 15/2/2013 09:17:07, 30264, 98136.5
MOSI Recce, 20/2/2013 12:47:30, 1500, 9800
2013/02/22, 22/2/2013 10:16:19, 797, 4881.27
From MOSI, 22/2/2013 15:30:00, 750, 4900
Wilmslow Mobberley Altringham Loop, 24/2/2013 15:35:42, 10362, 62867.2
2013-02-13 Stretford Greater Manchester United Kingdom, 13/2/2013 12:41:25, 1244, 5993.04
New Mills Glossop Loop, 8/2/2013 15:48:45, 11048, 55318.4
Stockport Loop, 29/1/2013 15:20:37, 3914, 21525.6
Airport Loop, 2/2/2013 14:33:14, 8829, 54669.6
Airport Loop, 6/2/2013 16:34:45, 7495, 44051.1
Belmont Hill and back, 27/1/2013 13:24:25, 13187, 74047.5
2013/02/13, 13/2/2013 11:50:32, 3053, 20593.3
2013/01/26, 26/1/2013 15:08:30, 4698, 18429.2
2013-01-26, 26/1/2013 14:45:53, 1357, 7600
2013/01/26, 26/1/2013 13:46:31, 3561, 10285.2
Macclesfield Knutsford and Altringham, 20/1/2013 13:59:49, 14697, 86757.1
2013/01/15, 15/1/2013 14:51:13, 594, 3337.95
2013/01/15, 15/1/2013 11:54:24, 428, 937.42
2013/01/15, 15/1/2013 09:03:29, 5549, 17688
From Fowlmead, 8/1/2013 14:35:25, 2167, 12737.9
Around Fowlmead, 8/1/2013 13:25:20, 3996, 29686.4
To Fowlmead, 8/1/2013 12:44:49, 2125, 17976.7
2013/01/06, 6/1/2013 12:31:56, 605, 4433
2013/01/05, 5/1/2013 13:40:15, 4051, 17273.9
Herne Bay Sandwich Eastry, 3/1/2013 12:26:26, 13118, 77799.3
Hawkinge Adisham and Whitfield, 30/12/2012 11:27:27, 21340, 50084.2
Dover Priory to Whitfield, 19/12/2012 15:03:33, 1127, 5572.52
Eythorne Loop, 29/12/2012 12:31:00, 1881, 12938.7
Euston to St. Pancras, 19/12/2012 13:33:59, 272, 891.38
To Station, 19/12/2012 10:42:48, 546, 3384.93
2012/12/18, 18/12/2012 14:07:37, 5787, 12220.8
Warrington and back, 15/12/2012 13:53:59, 7633, 51983
2012/12/13, 13/12/2012 15:22:22, 6816, 10650.2
Huddersfield Loop, 7/12/2012 12:05:19, 22315, 106290
Buxton Loop, 23/11/2012 12:23:53, 18258, 92007.6
2012/11/20, 20/11/2012 12:35:34, 13598, 10846.4
2012/11/15, 15/11/2012 19:10:34, 2366, 16647.8
2012/11/15, 15/11/2012 09:39:58, 4876, 18287.3
Snake Pass Winnats Loop 2, 15/11/2012 12:19:38, 13191, 66926
2012/11/10, 10/11/2012 13:47:35, 2581, 17386.5
Sainsbury's to Snake Pass Winnats Loop, 9/11/2012 10:45:54, 28048, 83550.1
2012/11/04, 4/11/2012 17:43:12, 624, 4568.53
2012/10/30, 30/10/2012 16:40:42, 881, 6455.21
